Point McCartey	55.10/-131.70	
Point Saint Albans	56.08/-133.97	
Point Smith		See Cape Smyth
Point Winslow	55.11/-131.19	
Porpoise Rocks	60.32/-146.68		
			
Port Clarence	65.24/-166.68		
Port Clearance		See Port Clarence
Port Etches	60.33/-146.60	
Port Moller	55.99/-160.58	
Port Moore	71.38/-156.45		
			
Potter Rock	55.30/-131.58	
Priest Rock	53.90/-166.44	
Priest Rock	53.77/-166.99	
Princess Head	53.98/-166.41	
Pumicestone Bay	53.53/-167.12	
			
Pyramid Point	59.93/-144.41	
Race Rocks	54.13/-165.66	
Raven Point	54.63/-164.85	
Refuge Inlet		See Walakpa Bay
Refuge Station		See Barrow
			
Resurrection Bay	60.01/-149.37		
Return Islands	70.48/-148.88		
Return Reef		See Return Islands
Revillagagedo Channel		See Revillagigedo Channel
Revillagigedo Channel	55.06/-131.12	
			
Round Point	56.28/-132.66		
Rudisell Reef	52.95/-168.87	
Rugged Island	59.86/-149.38		
Saint Diomede Islands		See Diomede Islands
Saint George Island	56.59/-169.63	Saint George Island Map
			
Saint Matthew Island	60.41/-172.72	
Saint Paul Harbor	57.77/-152.44	
Saint Paul Island	57.12/-170.27	Saint Paul Loran Station p
Savoonga Point	63.70/-170.49		
Scotch Cap	54.40/-164.79	Scotch Cap Light
			
Sea Lion Rock	57.10/-170.29	
Seahorse Islands	70.89/-158.71		
Seal Cape	55.36/-161.31		
Seal Cape	54.39/-164.65		
Seal Rocks	60.16/-146.83	
			
Seal Rocks	59.52/-149.63		
Sealion Rocks	58.34/-151.81	
Semidi Islands	56.06/-156.70		
Seward	60.12/-149.43		
Shelikof Strait	57.40/-154.87	
			
Sheshalik	66.99/-162.83		
Ship Rock		See Ship Island
Ship Island	55.60/-132.20	
Sitkinak Strait	56.66/-154.04		
Stikine Strait	56.31/-132.61		
			
Smith Bay	70.93/-154.40		
Snow Passage	56.28/-132.95	
South Passage Point	57.76/-134.94		
Southwest Point	57.16/-170.41	
Spasski Island	58.13/-135.27	
			
Spire Island	55.26/-131.50	
Spit Rock		See Split Rock
Split Rock	60.37/-172.77		
Squaw Harbor	55.24/-160.55	
Steamer Point	56.22/-132.71		
			
Sugarloaf Mountain	60.33/-172.61		
Sumner Strait	56.39/-133.51	
Swallow Head	52.11/-176.15	
Sweeper Cove	51.85/-176.64	
Tachinisok Inlet	70.82/-158.32		
			
Tanaga Island	51.79/-177.93	
Tangent Point	71.15/-155.09		
Temnac Bay	52.81/173.04	
The Eye Opener		See Eye Opener
The Inlet		See Wainwright Inlet
			
The Rock		See Fairway Rock
Theodore Point	52.76/172.91	Attu Loran Station
Thin Point	54.96/-162.57	
Tigalda Island	54.10/-165.06	
Tolstoi Point	57.14/-170.29	
			
Tolstoi Point	56.59/-169.47	
Tongass Narrows	55.39/-131.75	
Tonki Cape	58.35/-151.99		
Tree Point	54.80/-130.93	Tree Point Lighthouse
Trunk Point	51.77/-177.79	
			
Twin Islands	55.14/-131.22	
Ukivok Island		See King Island
Ukivuk King Island		See King Island
Ugak Island	57.38/-152.28		
Ugamak Island	54.21/-164.82	
			
Ukolnoi Island	55.22/-161.62		
Ulakhta Head		See Ulakta Head
Ulakta Head	53.92/-166.51	
Uliaga Island	53.07/-169.77		
Ulyaga Island		See Uliaga Island
			
Umga Island	54.80/-162.72		
Umnak Island	53.22/-168.43	
Unalaska Bay	53.93/-166.52	
Unalaska Island	53.67/-166.65	
Unga Island	55.26/-160.70	
			
Unga Spit	55.40/-160.72		
Unimak Island	54.77/-164.19	
Utekavik		See Barrow
Utkiavie		See Barrow
Vank Island	56.47/-132.61		
			
Vicknefski Rock	56.44/-133.01		
Village Cove	57.13/-170.28	
Volcano Bay	53.81/-167.12	
Wainwright Inlet	70.60/-159.99		
Walakpa Bay	71.14/-157.04		
			
Wedge Point	53.43/-167.38	
Westdahl Rock	54.62/-162.84	
Whale Point	57.12/-170.26	
Whaling Station	54.13/-165.81	In Akutan Harbor
Wide Bay	53.95/-166.62	
			
Womens Bay	57.71/-152.52	
Wooded Island	59.87/-147.40	
Woody Inlet		See Tachinisok Inlet
Wrangell Island	56.30/-132.18		
